Athlete,Country,Date,Event,Rank,Points
Miyu Ito,Japan,2023-02-05,Street World Championships Sharjah 2022,33,1569
Miyu Ito,Japan,2022-07-03,World Street Skateboarding Rome 2022,12,7412
Paige Heyn,United States,2024-06-23,OQS Budapest 2024,8,87278
Paige Heyn,United States,2024-05-19,OQS Shanghai 2024,11,54446
Paige Heyn,United States,2023-12-17,WST Street World Championship 2023 Tokyo,16,10926
Paige Heyn,United States,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,3,34000
Paige Heyn,United States,2023-02-05,Street World Championships Sharjah 2022,7,31726
Paige Heyn,United States,2022-07-03,World Street Skateboarding Rome 2022,38,424
Gabi Mazetto,Brazil,2024-06-23,OQS Budapest 2024,30,6416
Gabi Mazetto,Brazil,2024-05-19,OQS Shanghai 2024,33,4054
Gabi Mazetto,Brazil,2024-03-10,World Skateboarding Tour - Street Dubai,40,412
Gabi Mazetto,Brazil,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,28,803
Gabi Mazetto,Brazil,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,7,17748
Gabi Mazetto,Brazil,2023-02-05,Street World Championships Sharjah 2022,6,35251
Gabi Mazetto,Brazil,2022-07-03,World Street Skateboarding Rome 2022,14,5355
Roos Zwetsloot,Netherlands,2024-06-23,OQS Budapest 2024,14,37686
Roos Zwetsloot,Netherlands,2024-05-19,OQS Shanghai 2024,24,11474
Roos Zwetsloot,Netherlands,2024-03-10,World Skateboarding Tour - Street Dubai,11,8720
Roos Zwetsloot,Netherlands,2023-12-17,WST Street World Championship 2023 Tokyo,10,20558
Roos Zwetsloot,Netherlands,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,8,15086
Roos Zwetsloot,Netherlands,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,19,2194
Roos Zwetsloot,Netherlands,2023-02-05,Street World Championships Sharjah 2022,16,10926
Roos Zwetsloot,Netherlands,2022-07-03,World Street Skateboarding Rome 2022,9,12069
Aoi Uemura,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,23,1439
Aoi Uemura,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,18,8358
Aoi Uemura,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,12,7412
Aoi Uemura,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,6,20880
Aoi Uemura,Japan,2023-02-05,Street World Championships Sharjah 2022,13,14987
Aoi Uemura,Japan,2022-07-03,World Street Skateboarding Rome 2022,11,8720
Chenxi Cui,China,2024-06-23,OQS Budapest 2024,7,98948
Chenxi Cui,China,2024-05-19,OQS Shanghai 2024,5,127466
Chenxi Cui,China,2024-03-10,World Skateboarding Tour - Street Dubai,7,17748
Chenxi Cui,China,2023-12-17,WST Street World Championship 2023 Tokyo,8,28553
Chenxi Cui,China,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,23,1439
Chenxi Cui,China,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,17,2708
Chenxi Cui,China,2023-02-05,Street World Championships Sharjah 2022,30,2484
Nanaka Fujisawa,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,6,20880
Nanaka Fujisawa,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,11,18503
Nanaka Fujisawa,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,14,5355
Nanaka Fujisawa,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,20,1974
Nanaka Fujisawa,Japan,2022-07-03,World Street Skateboarding Rome 2022,31,688
Daniela Terol,Spain,2024-06-23,OQS Budapest 2024,27,8364
Daniela Terol,Spain,2024-05-19,OQS Shanghai 2024,43,3484
Daniela Terol,Spain,2024-03-10,World Skateboarding Tour - Street Dubai,17,2708
Daniela Terol,Spain,2023-12-17,WST Street World Championship 2023 Tokyo,12,16652
Daniela Terol,Spain,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,38,424
Daniela Terol,Spain,2023-02-05,Street World Championships Sharjah 2022,11,18503
Liv Lovelace,Australia,2024-06-23,OQS Budapest 2024,16,29590
Liv Lovelace,Australia,2024-05-19,OQS Shanghai 2024,20,17488
Liv Lovelace,Australia,2024-03-10,World Skateboarding Tour - Street Dubai,13,6300
Liv Lovelace,Australia,2023-12-17,WST Street World Championship 2023 Tokyo,29,2615
Liv Lovelace,Australia,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,16,3869
