last_name,first_name,total
FYNN,Tommy,33.9
HOEFLER,Kelvin,46.11
IGLESIAS,Mauro,45.39
TERRELL,Yakov,42.09
MOTA,Filipe,41.89
ILARDI,Jake,41.1
RIBEIRO,Gabriel,40.14
GUSTAVO,Felipe,38.25
TUESTA,Deivid,34.17
AGUILAR,Gabryel,32.48
SIANGOUENG,Thawatchai,31.25
ONEILL,Shane,30.17
GARBACCIO,Joseph,29.47
SANDIFORD,Shay,27.5
PHAM,Denny,25.7
DELL,OLIO,16.88
RODRIGUEZ,Greg,15.14
ALVES,Joao,37.0
NGUYEN,Kristian,36.47
RABELO,Lucas,35.66
MATSUMOTO,Kairi,35.24
DE,JAEGER,35.13
IKE,Keyaki,35.0
ATANASOV,Marti,34.63
RUSSELL,Cordano,34.2
VALJALO,Brandon,33.77
ANDERBERG,Oscar,33.75
GONZALEZ,JC,33.64
CORIA,Brayan,33.03
AQUILA,Agus,33.0
ZEHNDER,Kilian,32.99
FERRERO,Gabriel,32.97
CARLSSON,Jonas,32.94
GARZA,DE,32.84
TEIXEIRA,Madu,32.67
CRAWFORD,Lazer,32.06
BRUNCLAIR,Beau,31.88
CARO,Angelo,31.85
SZALAK,Filip,31.7
STRICKER,Simon,31.31
JEONG,Jihoon,30.65
SAMPAOKANG,Attapon,30.62
WILMINK,Bert,30.55
HABANEC,Maxim,30.44
WOOLLEY,Daniel,30.15
ESQUIVEL,Paul,30.0
BERGUIN,Max,29.99
SCHAERER,Noel,29.96
SANTIAGO,Manny,29.84
GOURDAL,Lucien,29.67
KOROTUN,Yurii,29.47
DECENZO,Ryan,29.03
SARACENO,Zach,29.0
SOMMER,Justin,28.99
WIJIDJARUNG,Napat,28.74
BROEST,Diego,28.35
COLLYER,Rome,28.09
MALY,Jan,27.96
SONDRUP,Vitus,27.81
DECUNHA,Alex,27.36
GERBER,Simon,27.29
ARENS,Jost,27.0
PIWOWAR,Mike,26.99
FIGUEROA,MEDINA,26.77
ABU,Dor,26.7
PAPA,Micky,26.5
NAGARO,Noah,25.59
WINBERG,Hampus,25.49
MÖLLER,Mika,25.36
PFEIFFER,Lenni,24.4
KROON,Koffe,24.38
ROGERSTEN,Matheo,24.23
ZHANG,Jie,23.66
RAMIREZ,Ronald,23.45
SU,Jianjun,23.13
SEMAAN,Jean,22.4
PURCELL,John,22.37
COLA,Giuseppe,22.21
PEK,Martin,21.54
PORNCHAISUREE,Jirasin,21.25
ANDRES,VELASCO,20.58
KNUTZEN,Daniel,20.09
JAKES,Vilem,19.28
EXENBERGER,Santino,19.18
BATAN,Rio,18.92
HENAO,MEJIA,18.48
NELNER,Tom,17.1
TEIXEIRA,Pacal,17.03
BOGDANOVICS,Arturs,16.73
SALDOU,Jean,16.49
MUELLER,Rocco,16.31
MEZA,Oscar,16.03
PORADA,Bohdan,15.42
RECORBET,PARAIRA,15.07
SETINAS,Christopher,15.03
CAIZZA,Andrea,14.88
LUO,Yang,14.77
GAMEZ,SALAS,13.17
MORENO,SALAS,13.05
ORTIZ,GARCIA,12.37
MARKLAND,Matthew,12.1
MARQUEZ,GRIMAN,11.55
LUK,Chun,11.21
PUIGDOLLERS,Carlos,11.2
VILLALOBOS,Mariano,10.9
KEITA,Karim,10.8
BEVERLEY,Andre,8.94
ESHMATOV,Alpha,8.07
MIKKELSEN,Aske,7.88
MEZENOV,Artyom,7.68
NENASHEV,Alexander,5.0
ALNASSAR,Nahar,1.1
GUILHERME,Zenildo,0.16
last_name,first_name,total
NISHIYA,Momiji,259.81
ODA,Yumeka,249.77
HEYN,Paige,243.93
YOSHIZAWA,Coco,224.47
ROSA,Pamela,213.26
NAKAYAMA,Funa,180.37
LEAL,Rayssa,163.45
ZWETSLOOT,Roos,140.86
ZENG,Wenhui,222.19
SCHOONHEERE,Lucie,188.66
OLDENBEUVING,Keet,186.44
UEMURA,Aoi,137.73
ITO,Miyu,125.58
FUJISAWA,Nanaka,125.05
SUIARA,Kemily,105.34
LOVELACE,Liv,91.23
ALVAREZ,Jazmin,36.81
HA,Siye,35.44
MUNOZ,Natalia,34.13
POWELL,Haylie,32.62
LOUVET,Jeromine,31.25
JING,Xinyi,30.32
CUI,Chenxi,30.29
HYM,Charlotte,28.78
ZHU,Yuanling,27.45
JACOBS,Candy,26.28
SOUZA,Ariadne,25.52
MAZETTO,Gabi,23.14
RIBEIRO,Mati,22.48
LARRANAGA,Sara,21.65
LUNDMARK,Vilja,16.19
BRODER,Liv,15.14
KRAUEL,Valentina,26.29
ZACKOVA,Laura,25.75
LANZI,Asia,25.39
DURAN,Mariah,23.91
CHOROMANSKA,Weronika,23.03
TEROL,Daniela,22.39
TURNER,Flic,21.78
COSTA,Rafaela,21.03
NISHIYA,Momiji,259.81
ODA,Yumeka,249.77
HEYN,Paige,243.93
YOSHIZAWA,Coco,224.47
ROSA,Pamela,213.26
NAKAYAMA,Funa,180.37
LEAL,Rayssa,163.45
ZWETSLOOT,Roos,140.86
ZENG,Wenhui,222.19
SCHOONHEERE,Lucie,188.66
OLDENBEUVING,Keet,186.44
UEMURA,Aoi,137.73
ITO,Miyu,125.58
FUJISAWA,Nanaka,125.05
SUIARA,Kemily,105.34
LOVELACE,Liv,91.23
ALVAREZ,Jazmin,36.81
HA,Siye,35.44
MUNOZ,Natalia,34.13
POWELL,Haylie,32.62
LOUVET,Jeromine,31.25
JING,Xinyi,30.32
CUI,Chenxi,30.29
HYM,Charlotte,28.78
ZHU,Yuanling,27.45
JACOBS,Candy,26.28
SOUZA,Ariadne,25.52
MAZETTO,Gabi,23.14
RIBEIRO,Mati,22.48
LARRANAGA,Sara,21.65
LUNDMARK,Vilja,16.19
BRODER,Liv,15.14
KRAUEL,Valentina,26.29
ZACKOVA,Laura,25.75
LANZI,Asia,25.39
DURAN,Mariah,23.91
CHOROMANSKA,Weronika,23.03
TEROL,Daniela,22.39
TURNER,Flic,21.78
COSTA,Rafaela,21.03
MICHAUD,Cerise,19.36
GUY,Meagan,18.73
GAUTIER,Maria,18.33
BRUGGEMAN,Lore,18.23
ARZUA,Ailin,17.38
RENDON,Ana,17.29
SANCHEZ,Geraldine,16.42
PAUS,Svea,16.14
SILVA,Carla,16.02
COTE,ROJAS,15.62
MORALES,COLLAZO,15.03
ZHANG,Yan,14.77
MUNOZ,Jennifer,14.62
ALSBIRK,Smilla,14.32
PLACEK,Julia,14.26
GRANADOS,Itzel,14.18
BERTRAN,Aldana,13.17
CRIADO,OLIVA,12.53
PLANES,Valentina,12.21
SECOURS,Sam,11.95
LAN,Junyi,10.91
VIZUET,LUGO,10.91
KNUDSEN,Constanze,10.14
COTTAM,Christine,9.81
PETRIC,Valentina,9.28
RODRIGUES,Maria,9.22
BUCHANAN,Daisy,9.0
GALANTE,Madalena,8.5
ARIAS,YEPEZ,7.91
CEPEDA,Margarida,5.18
NAKAJIMA,Nonoka,0.44
last_name,first_name,total
HUSTON,Nyjah,275.94
SASAKI,Toa,270.53
VIANNA,Giovanni,268.06
NETSUKE,Kairi,265.82
HORIGOME,Yuto,264.69
AOKI,Yukito,249.18
TURY,Richard,243.75
GIRAUD,Aurelien,212.05
last_name,first_name,total
MOTA,Filipe,64.31
NETSUKE,Kairi,60.81
EATON,Jagger,60.0
DELL,OLIO,59.72
ONODERA,Ginwoo,58.94
MILOU,Vincent,58.82
GUSTAVO,Felipe,56.3
TURY,Richard,55.46
RIBEIRO,Gabriel,54.66
HORIGOME,Yuto,53.95
VIANNA,Giovanni,53.12
ONEILL,Shane,52.59
HOBAN,Braden,51.08
AOKI,Yukito,50.0
FOY,Jamie,48.21
SASAKI,Toa,47.58
GARBACCIO,Joseph,46.15
AGUILAR,Gabryel,45.16
SANDIFORD,Shay,42.71
IGLESIAS,Mauro,42.0
ILARDI,Jake,41.67
FYNN,Tommy,41.34
RODRIGUEZ,Greg,40.0
TUESTA,Deivid,39.19
SIANGOUENG,Thawatchai,38.93
TERRELL,Yakov,38.5
PHAM,Denny,38.04
HINSON,Joe,37.26
ALVES,Joao,37.0
MOTA,Filipe,64.31
NETSUKE,Kairi,60.81
EATON,Jagger,60.0
DELL,OLIO,59.72
ONODERA,Ginwoo,58.94
MILOU,Vincent,58.82
GUSTAVO,Felipe,56.3
TURY,Richard,55.46
RIBEIRO,Gabriel,54.66
HORIGOME,Yuto,53.95
VIANNA,Giovanni,53.12
ONEILL,Shane,52.59
HOBAN,Braden,51.08
AOKI,Yukito,50.0
FOY,Jamie,48.21
SASAKI,Toa,47.58
GARBACCIO,Joseph,46.15
AGUILAR,Gabryel,45.16
SANDIFORD,Shay,42.71
IGLESIAS,Mauro,42.0
ILARDI,Jake,41.67
FYNN,Tommy,41.34
RODRIGUEZ,Greg,40.0
TUESTA,Deivid,39.19
SIANGOUENG,Thawatchai,38.93
TERRELL,Yakov,38.5
PHAM,Denny,38.04
HINSON,Joe,37.26
ALVES,Joao,37.0
NGUYEN,Kristian,36.47
RABELO,Lucas,35.66
MATSUMOTO,Kairi,35.24
DE,JAEGER,35.13
IKE,Keyaki,35.0
ATANASOV,Marti,34.63
RUSSELL,Cordano,34.2
VALJALO,Brandon,33.77
ANDERBERG,Oscar,33.75
GONZALEZ,JC,33.64
CORIA,Brayan,33.03
AQUILA,Agus,33.0
ZEHNDER,Kilian,32.99
FERRERO,Gabriel,32.97
CARLSSON,Jonas,32.94
GARZA,DE,32.84
TEIXEIRA,Madu,32.67
CRAWFORD,Lazer,32.06
BRUNCLAIR,Beau,31.88
CARO,Angelo,31.85
SZALAK,Filip,31.7
STRICKER,Simon,31.31
JEONG,Jihoon,30.65
SAMPAOKANG,Attapon,30.62
WILMINK,Bert,30.55
HABANEC,Maxim,30.44
WOOLLEY,Daniel,30.15
ESQUIVEL,Paul,30.0
BERGUIN,Max,29.99
SCHAERER,Noel,29.96
SANTIAGO,Manny,29.84
GOURDAL,Lucien,29.67
KOROTUN,Yurii,29.47
DECENZO,Ryan,29.03
SARACENO,Zach,29.0
SOMMER,Justin,28.99
WIJIDJARUNG,Napat,28.74
BROEST,Diego,28.35
COLLYER,Rome,28.09
MOTA,Filipe,64.31
NETSUKE,Kairi,60.81
EATON,Jagger,60.0
DELL,OLIO,59.72
ONODERA,Ginwoo,58.94
MILOU,Vincent,58.82
GUSTAVO,Felipe,56.3
TURY,Richard,55.46
RIBEIRO,Gabriel,54.66
HORIGOME,Yuto,53.95
VIANNA,Giovanni,53.12
ONEILL,Shane,52.59
HOBAN,Braden,51.08
AOKI,Yukito,50.0
FOY,Jamie,48.21
SASAKI,Toa,47.58
GARBACCIO,Joseph,46.15
AGUILAR,Gabryel,45.16
SANDIFORD,Shay,42.71
IGLESIAS,Mauro,42.0
ILARDI,Jake,41.67
FYNN,Tommy,41.34
RODRIGUEZ,Greg,40.0
TUESTA,Deivid,39.19
SIANGOUENG,Thawatchai,38.93
TERRELL,Yakov,38.5
PHAM,Denny,38.04
HINSON,Joe,37.26
ALVES,Joao,37.0
NGUYEN,Kristian,36.47
RABELO,Lucas,35.66
MATSUMOTO,Kairi,35.24
DE,JAEGER,35.13
IKE,Keyaki,35.0
ATANASOV,Marti,34.63
RUSSELL,Cordano,34.2
VALJALO,Brandon,33.77
ANDERBERG,Oscar,33.75
GONZALEZ,JC,33.64
CORIA,Brayan,33.03
AQUILA,Agus,33.0
ZEHNDER,Kilian,32.99
FERRERO,Gabriel,32.97
CARLSSON,Jonas,32.94
GARZA,DE,32.84
TEIXEIRA,Madu,32.67
CRAWFORD,Lazer,32.06
BRUNCLAIR,Beau,31.88
CARO,Angelo,31.85
SZALAK,Filip,31.7
STRICKER,Simon,31.31
JEONG,Jihoon,30.65
SAMPAOKANG,Attapon,30.62
WILMINK,Bert,30.55
HABANEC,Maxim,30.44
WOOLLEY,Daniel,30.15
ESQUIVEL,Paul,30.0
BERGUIN,Max,29.99
SCHAERER,Noel,29.96
SANTIAGO,Manny,29.84
GOURDAL,Lucien,29.67
KOROTUN,Yurii,29.47
DECENZO,Ryan,29.03
SARACENO,Zach,29.0
SOMMER,Justin,28.99
WIJIDJARUNG,Napat,28.74
BROEST,Diego,28.35
COLLYER,Rome,28.09
MALY,Jan,27.96
SONDRUP,Vitus,27.81
DECUNHA,Alex,27.36
GERBER,Simon,27.29
ARENS,Jost,27.0
PIWOWAR,Mike,26.99
FIGUEROA,Andrés,26.77
ABU,Dor,26.7
PAPA,Micky,26.5
NAGARO,Noah,25.59
WINBERG,Hampus,25.49
MÖLLER,Mika,25.36
PFEIFFER,Lenni,24.4
KROON,Koffe,24.38
ROGERSTEN,Matheo,24.23
ZHANG,Jie,23.66
RAMIREZ,Ronald,23.45
SU,Jianjun,23.13
SEMAAN,Jean,22.4
PURCELL,John,22.37
COLA,Giuseppe,22.21
PEK,Martin,21.54
PORNCHAISUREE,Jirasin,21.25
ANDRES,VELASCOFernando,20.58
KNUTZEN,Daniel,20.09
JAKES,Vilem,19.28
EXENBERGER,Santino,19.18
BATAN,Rio,18.92
HENAO,MEJIA,18.48
NELNER,Tom,17.1
TEIXEIRA,Pacal,17.03
BOGDANOVICS,Arturs,16.73
SALDOU,Jean,16.49
MUELLER,Rocco,16.31
MEZA,Oscar,16.03
PORADA,Bohdan,15.42
RECORBET,Liam,15.07
SETINAS,Christopher,15.03
CAIZZA,Andrea,14.88
MOTA,Filipe,64.31
NETSUKE,Kairi,60.81
EATON,Jagger,60.0
DELL,OLIO,59.72
ONODERA,Ginwoo,58.94
MILOU,Vincent,58.82
GUSTAVO,Felipe,56.3
TURY,Richard,55.46
RIBEIRO,Gabriel,54.66
HORIGOME,Yuto,53.95
VIANNA,Giovanni,53.12
ONEILL,Shane,52.59
HOBAN,Braden,51.08
AOKI,Yukito,50.0
FOY,Jamie,48.21
SASAKI,Toa,47.58
GARBACCIO,Joseph,46.15
AGUILAR,Gabryel,45.16
SANDIFORD,Shay,42.71
IGLESIAS,Mauro,42.0
ILARDI,Jake,41.67
FYNN,Tommy,41.34
RODRIGUEZ,Greg,40.0
TUESTA,Deivid,39.19
SIANGOUENG,Thawatchai,38.93
TERRELL,Yakov,38.5
PHAM,Denny,38.04
HINSON,Joe,37.26
ALVES,Joao,37.0
NGUYEN,Kristian,36.47
RABELO,Lucas,35.66
MATSUMOTO,Kairi,35.24
DE,JAEGER,35.13
IKE,Keyaki,35.0
ATANASOV,Marti,34.63
RUSSELL,Cordano,34.2
VALJALO,Brandon,33.77
ANDERBERG,Oscar,33.75
GONZALEZ,JC,33.64
CORIA,Brayan,33.03
AQUILA,Agus,33.0
ZEHNDER,Kilian,32.99
FERRERO,Gabriel,32.97
CARLSSON,Jonas,32.94
GARZA,DE,32.84
TEIXEIRA,Madu,32.67
CRAWFORD,Lazer,32.06
BRUNCLAIR,Beau,31.88
CARO,Angelo,31.85
SZALAK,Filip,31.7
STRICKER,Simon,31.31
JEONG,Jihoon,30.65
SAMPAOKANG,Attapon,30.62
WILMINK,Bert,30.55
HABANEC,Maxim,30.44
WOOLLEY,Daniel,30.15
ESQUIVEL,Paul,30.0
BERGUIN,Max,29.99
SCHAERER,Noel,29.96
SANTIAGO,Manny,29.84
GOURDAL,Lucien,29.67
KOROTUN,Yurii,29.47
DECENZO,Ryan,29.03
SARACENO,Zach,29.0
SOMMER,Justin,28.99
WIJIDJARUNG,Napat,28.74
BROEST,Diego,28.35
COLLYER,Rome,28.09
MALY,Jan,27.96
SONDRUP,Vitus,27.81
DECUNHA,Alex,27.36
GERBER,Simon,27.29
ARENS,Jost,27.0
PIWOWAR,Mike,26.99
FIGUEROA,Andrés,26.77
ABU,Dor,26.7
PAPA,Micky,26.5
NAGARO,Noah,25.59
WINBERG,Hampus,25.49
MÖLLER,Mika,25.36
PFEIFFER,Lenni,24.4
KROON,Koffe,24.38
ROGERSTEN,Matheo,24.23
ZHANG,Jie,23.66
RAMIREZ,Ronald,23.45
SU,Jianjun,23.13
SEMAAN,Jean,22.4
PURCELL,John,22.37
COLA,Giuseppe,22.21
PEK,Martin,21.54
PORNCHAISUREE,Jirasin,21.25
ANDRES,VELASCOFernando,20.58
KNUTZEN,Daniel,20.09
JAKES,Vilem,19.28
EXENBERGER,Santino,19.18
BATAN,Rio,18.92
HENAO,MEJIA,18.48
NELNER,Tom,17.1
TEIXEIRA,Pacal,17.03
BOGDANOVICS,Arturs,16.73
SALDOU,Jean,16.49
MUELLER,Rocco,16.31
MEZA,Oscar,16.03
PORADA,Bohdan,15.42
RECORBET,Liam,15.07
SETINAS,Christopher,15.03
CAIZZA,Andrea,14.88
LUO,Yang,14.77
GAMEZ,SALAS,13.17
MORENO,SALAS,13.05
ORTIZ,GARCIA,12.37
MARKLAND,Matthew,12.1
MARQUEZ,Keyht,11.55
LUK,Chun,11.21
PUIGDOLLERS,Carlos,11.2
VILLALOBOS,Mariano,10.9
KEITA,Karim,10.8
BEVERLEY,Andre,8.94
ESHMATOV,Alpha,8.07
MIKKELSEN,Aske,7.88
MEZENOV,Artyom,7.68
NENASHEV,Alexander,5.0
ALNASSAR,Nahar,1.1
GUILHERME,Zenildo,0.16
last_name,first_name,total
HUSTON,Nyjah,75.22
HORIGOME,Yuto,70.12
NETSUKE,Kairi,68.0
SASAKI,Toa,65.16
EATON,Jagger,64.41
GIRAUD,Aurelien,64.0
FOY,Jamie,63.71
VIANNA,Giovanni,62.77
TURY,Richard,61.17
ONODERA,Ginwoo,58.83
FYNN,Tommy,56.62
HINSON,Joe,53.6
RIBEIRO,Gustavo,53.0
HOBAN,Braden,52.19
AOKI,Yukito,49.13
MILOU,Vincent,47.84
HOEFLER,Kelvin,46.11
IGLESIAS,Mauro,45.39
TERRELL,Yakov,42.09
MOTA,Filipe,41.89
ILARDI,Jake,41.1
RIBEIRO,Gabriel,40.14
GUSTAVO,Felipe,38.25
TUESTA,Deivid,34.17
AGUILAR,Gabryel,32.48
SIANGOUENG,Thawatchai,31.25
ONEILL,Shane,30.17
GARBACCIO,Joseph,29.47
SANDIFORD,Shay,27.5
HUSTON,Nyjah,75.22
HORIGOME,Yuto,70.12
NETSUKE,Kairi,68.0
SASAKI,Toa,65.16
EATON,Jagger,64.41
GIRAUD,Aurelien,64.0
FOY,Jamie,63.71
VIANNA,Giovanni,62.77
TURY,Richard,61.17
ONODERA,Ginwoo,58.83
FYNN,Tommy,56.62
HINSON,Joe,53.6
RIBEIRO,Gustavo,53.0
HOBAN,Braden,52.19
AOKI,Yukito,49.13
MILOU,Vincent,47.84
HOEFLER,Kelvin,46.11
IGLESIAS,Mauro,45.39
TERRELL,Yakov,42.09
MOTA,Filipe,41.89
ILARDI,Jake,41.1
RIBEIRO,Gabriel,40.14
GUSTAVO,Felipe,38.25
TUESTA,Deivid,34.17
AGUILAR,Gabryel,32.48
SIANGOUENG,Thawatchai,31.25
ONEILL,Shane,30.17
GARBACCIO,Joseph,29.47
SANDIFORD,Shay,27.5
PHAM,Denny,25.7
DELL,OLIO,16.88
RODRIGUEZ,Greg,15.14
last_name,first_name,total
HUSTON,Nyjah,267.71
VIANNA,Giovanni,262.53
GIRAUD,Aurelien,258.87
HORIGOME,Yuto,257.58
NETSUKE,Kairi,256.08
AOKI,Yukito,252.75
SASAKI,Toa,248.45
TURY,Richard,242.67
RIBEIRO,Gustavo,232.51
MILOU,Vincent,229.96
HOBAN,Braden,225.3
ONODERA,Ginwoo,211.81
HINSON,Joe,189.05
EATON,Jagger,145.98
FOY,Jamie,143.2
FYNN,Tommy,33.9
last_name,first_name,total
HUSTON,Nyjah,267.71
VIANNA,Giovanni,262.53
GIRAUD,Aurelien,258.87
HORIGOME,Yuto,257.58
NETSUKE,Kairi,256.08
AOKI,Yukito,252.75
SASAKI,Toa,248.45
TURY,Richard,242.67
RIBEIRO,Gustavo,232.51
MILOU,Vincent,229.96
HOBAN,Braden,225.3
ONODERA,Ginwoo,211.81
HINSON,Joe,189.05
EATON,Jagger,145.98
FOY,Jamie,143.2
FYNN,Tommy,33.9
last_name,first_name,total
CUI,Chenxi,51.32
NAKAYAMA,Funa,50.96
ZWETSLOOT,Roos,50.29
ROSA,Pamela,50.0
JACOBS,Candy,49.17
MAZETTO,Gabi,47.44
YOSHIZAWA,Coco,46.77
LOUVET,Jeromine,43.99
SCHOONHEERE,Lucie,42.09
OLDENBEUVING,Keet,41.1
ZHU,Yuanling,40.79
BRODER,Liv,39.86
FUJISAWA,Nanaka,39.6
SUIARA,Kemily,39.0
SOUZA,Ariadne,38.84
ZENG,Wenhui,38.01
MUNOZ,Natalia,37.88
RIBEIRO,Mati,37.47
HEYN,Paige,37.22
ALVAREZ,Jazmin,36.23
JING,Xinyi,35.16
POWELL,Haylie,34.16
HYM,Charlotte,32.96
LARRANAGA,Sara,31.25
UEMURA,Aoi,31.14
LUNDMARK,Vilja,28.56
LOVELACE,Liv,28.13
ITO,Miyu,27.04
HA,Siye,26.93
CUI,Chenxi,51.32
NAKAYAMA,Funa,50.96
ZWETSLOOT,Roos,50.29
ROSA,Pamela,50.0
JACOBS,Candy,49.17
MAZETTO,Gabi,47.44
YOSHIZAWA,Coco,46.77
LOUVET,Jeromine,43.99
SCHOONHEERE,Lucie,42.09
OLDENBEUVING,Keet,41.1
ZHU,Yuanling,40.79
BRODER,Liv,39.86
FUJISAWA,Nanaka,39.6
SUIARA,Kemily,39.0
SOUZA,Ariadne,38.84
ZENG,Wenhui,38.01
MUNOZ,Natalia,37.88
RIBEIRO,Mati,37.47
HEYN,Paige,37.22
ALVAREZ,Jazmin,36.23
JING,Xinyi,35.16
POWELL,Haylie,34.16
HYM,Charlotte,32.96
LARRANAGA,Sara,31.25
UEMURA,Aoi,31.14
LUNDMARK,Vilja,28.56
LOVELACE,Liv,28.13
ITO,Miyu,27.04
HA,Siye,26.93
KRAUEL,Valentina,26.29
ZACKOVA,Laura,25.75
LANZI,Asia,25.39
DURAN,Mariah,23.91
CHOROMANSKA,Weronika,23.03
TEROL,Daniela,22.39
TURNER,Flic,21.78
COSTA,Rafaela,21.03
MICHAUD,Cerise,19.36
GUY,Meagan,18.73
GAUTIER,Maria,18.33
BRUGGEMAN,Lore,18.23
ARZUA,Ailin,17.38
RENDON,Ana,17.29
SANCHEZ,Geraldine,16.42
PAUS,Svea,16.14
SILVA,Carla,16.02
COTE,ROJAS,15.62
MORALES,Vianez,15.03
ZHANG,Yan,14.77
MUNOZ,Jennifer,14.62
ALSBIRK,Smilla,14.32
PLACEK,Julia,14.26
GRANADOS,Itzel,14.18
BERTRAN,Aldana,13.17
CRIADO,OLIVA,12.53
PLANES,Valentina,12.21
SECOURS,Sam,11.95
LAN,Junyi,10.91
VIZUET,LUGO,10.91
KNUDSEN,Constanze,10.14
COTTAM,Christine,9.81
PETRIC,Valentina,9.28
RODRIGUES,Maria,9.22
BUCHANAN,Daisy,9.0
GALANTE,Madalena,8.5
ARIAS,YEPEZ,7.91
CEPEDA,Margarida,5.18
NAKAJIMA,Nonoka,0.44
CUI,Chenxi,51.32
NAKAYAMA,Funa,50.96
ZWETSLOOT,Roos,50.29
ROSA,Pamela,50.0
JACOBS,Candy,49.17
MAZETTO,Gabi,47.44
YOSHIZAWA,Coco,46.77
LOUVET,Jeromine,43.99
SCHOONHEERE,Lucie,42.09
OLDENBEUVING,Keet,41.1
ZHU,Yuanling,40.79
BRODER,Liv,39.86
FUJISAWA,Nanaka,39.6
SUIARA,Kemily,39.0
SOUZA,Ariadne,38.84
ZENG,Wenhui,38.01
MUNOZ,Natalia,37.88
RIBEIRO,Mati,37.47
HEYN,Paige,37.22
ALVAREZ,Jazmin,36.23
JING,Xinyi,35.16
POWELL,Haylie,34.16
HYM,Charlotte,32.96
LARRANAGA,Sara,31.25
UEMURA,Aoi,31.14
LUNDMARK,Vilja,28.56
LOVELACE,Liv,28.13
ITO,Miyu,27.04
HA,Siye,26.93
KRAUEL,Valentina,26.29
ZACKOVA,Laura,25.75
LANZI,Asia,25.39
DURAN,Mariah,23.91
CHOROMANSKA,Weronika,23.03
TEROL,Daniela,22.39
TURNER,Flic,21.78
COSTA,Rafaela,21.03
MICHAUD,Cerise,19.36
GUY,Meagan,18.73
GAUTIER,Maria,18.33
BRUGGEMAN,Lore,18.23
ARZUA,Ailin,17.38
RENDON,Ana,17.29
SANCHEZ,Geraldine,16.42
PAUS,Svea,16.14
SILVA,Carla,16.02
COTE,ROJAS,15.62
MORALES,Vianez,15.03
ZHANG,Yan,14.77
MUNOZ,Jennifer,14.62
ALSBIRK,Smilla,14.32
PLACEK,Julia,14.26
GRANADOS,Itzel,14.18
BERTRAN,Aldana,13.17
CRIADO,OLIVA,12.53
PLANES,Valentina,12.21
SECOURS,Sam,11.95
LAN,Junyi,10.91
VIZUET,LUGO,10.91
KNUDSEN,Constanze,10.14
COTTAM,Christine,9.81
PETRIC,Valentina,9.28
RODRIGUES,Maria,9.22
BUCHANAN,Daisy,9.0
GALANTE,Madalena,8.5
ARIAS,YEPEZ,7.91
CEPEDA,Margarida,5.18
NAKAJIMA,Nonoka,0.44
last_name,first_name,total
NISHIYA,Momiji,64.95
YOSHIZAWA,Coco,58.33
ROSA,Pamela,56.56
ZWETSLOOT,Roos,55.15
NAKAYAMA,Funa,53.29
FUJISAWA,Nanaka,52.18
OLDENBEUVING,Keet,50.55
UEMURA,Aoi,48.44
SCHOONHEERE,Lucie,46.33
LOVELACE,Liv,42.61
LEAL,Rayssa,40.51
SUIARA,Kemily,40.4
ITO,Miyu,39.09
ZENG,Wenhui,39.0
HEYN,Paige,38.1
ODA,Yumeka,37.55
ALVAREZ,Jazmin,36.81
HA,Siye,35.44
MUNOZ,Natalia,34.13
POWELL,Haylie,32.62
LOUVET,Jeromine,31.25
JING,Xinyi,30.32
CUI,Chenxi,30.29
HYM,Charlotte,28.78
ZHU,Yuanling,27.45
JACOBS,Candy,26.28
SOUZA,Ariadne,25.52
MAZETTO,Gabi,23.14
RIBEIRO,Mati,22.48
NISHIYA,Momiji,64.95
YOSHIZAWA,Coco,58.33
ROSA,Pamela,56.56
ZWETSLOOT,Roos,55.15
NAKAYAMA,Funa,53.29
FUJISAWA,Nanaka,52.18
OLDENBEUVING,Keet,50.55
UEMURA,Aoi,48.44
SCHOONHEERE,Lucie,46.33
LOVELACE,Liv,42.61
LEAL,Rayssa,40.51
SUIARA,Kemily,40.4
ITO,Miyu,39.09
ZENG,Wenhui,39.0
HEYN,Paige,38.1
ODA,Yumeka,37.55
ALVAREZ,Jazmin,36.81
HA,Siye,35.44
MUNOZ,Natalia,34.13
POWELL,Haylie,32.62
LOUVET,Jeromine,31.25
JING,Xinyi,30.32
CUI,Chenxi,30.29
HYM,Charlotte,28.78
ZHU,Yuanling,27.45
JACOBS,Candy,26.28
SOUZA,Ariadne,25.52
MAZETTO,Gabi,23.14
RIBEIRO,Mati,22.48
LARRANAGA,Sara,21.65
LUNDMARK,Vilja,16.19
BRODER,Liv,15.14
last_name,first_name,total
LEAL,Rayssa,236.64
ODA,Yumeka,235.89
HEYN,Paige,234.54
NAKAYAMA,Funa,233.73
NISHIYA,Momiji,228.34
YOSHIZAWA,Coco,227.99
ROSA,Pamela,225.6
ZWETSLOOT,Roos,222.7
ZENG,Wenhui,222.19
SCHOONHEERE,Lucie,188.66
OLDENBEUVING,Keet,186.44
UEMURA,Aoi,137.73
ITO,Miyu,125.58
FUJISAWA,Nanaka,125.05
SUIARA,Kemily,105.34
LOVELACE,Liv,91.23
last_name,first_name,total
NISHIYA,Momiji,259.81
ODA,Yumeka,249.77
HEYN,Paige,243.93
YOSHIZAWA,Coco,224.47
ROSA,Pamela,213.26
NAKAYAMA,Funa,180.37
LEAL,Rayssa,163.45
ZWETSLOOT,Roos,140.86
last_name,first_name,total
NISHIYA,Momiji,259.81
ODA,Yumeka,249.77
HEYN,Paige,243.93
YOSHIZAWA,Coco,224.47
ROSA,Pamela,213.26
