Athlete,Country,Date,Event,Rank,Points
Toa Sasaki,Japan,2024-06-23,OQS Budapest 2024,14,37686
Toa Sasaki,Japan,2024-05-19,OQS Shanghai 2024,4,144840
Toa Sasaki,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,35,444
Toa Sasaki,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,11,18503
Toa Sasaki,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,2,40000
Toa Sasaki,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,13,6300
Toa Sasaki,Japan,2023-02-05,Street World Championships Sharjah 2022,16,10926
Toa Sasaki,Japan,2022-07-03,World Street Skateboarding Rome 2022,10,10258
Cordano Russell,Canada,2024-06-23,OQS Budapest 2024,10,61632
Cordano Russell,Canada,2024-05-19,OQS Shanghai 2024,23,12748
Cordano Russell,Canada,2024-03-10,World Skateboarding Tour - Street Dubai,12,7412
Cordano Russell,Canada,2023-12-17,WST Street World Championship 2023 Tokyo,4,43520
Cordano Russell,Canada,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,40,412
Cordano Russell,Canada,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,7,17748
Jagger Eaton,United States,2024-06-23,OQS Budapest 2024,16,29590
Jagger Eaton,United States,2024-05-19,OQS Shanghai 2024,1,260000
Jagger Eaton,United States,2023-12-17,WST Street World Championship 2023 Tokyo,21,6093
Jagger Eaton,United States,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,14,5355
Jagger Eaton,United States,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,6,20880
Jagger Eaton,United States,2023-02-05,Street World Championships Sharjah 2022,6,35251
Vincent Milou,France,2024-06-23,OQS Budapest 2024,27,8364
Vincent Milou,France,2024-03-10,World Skateboarding Tour - Street Dubai,11,8720
Vincent Milou,France,2023-12-17,WST Street World Championship 2023 Tokyo,9,22843
Vincent Milou,France,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,10,10258
Vincent Milou,France,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,11,8720
Vincent Milou,France,2023-02-05,Street World Championships Sharjah 2022,29,2615
Vincent Milou,France,2022-07-03,World Street Skateboarding Rome 2022,6,20880
Ryan Decenzo,Canada,2024-06-23,OQS Budapest 2024,31,6096
Ryan Decenzo,Canada,2024-05-19,OQS Shanghai 2024,16,29590
Ryan Decenzo,Canada,2024-03-10,World Skateboarding Tour - Street Dubai,6,20880
Ryan Decenzo,Canada,2023-12-17,WST Street World Championship 2023 Tokyo,27,3238
Ryan Decenzo,Canada,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,67,181
Ryan Decenzo,Canada,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,85,72
Ryan Decenzo,Canada,2023-02-05,Street World Championships Sharjah 2022,11,18503
Ryan Decenzo,Canada,2022-07-03,World Street Skateboarding Rome 2022,7,17748
Yukito Aoki,Japan,2024-06-23,OQS Budapest 2024,22,14166
Yukito Aoki,Japan,2024-05-19,OQS Shanghai 2024,14,37686
Yukito Aoki,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,8,15086
Yukito Aoki,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,12,16652
Yukito Aoki,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,6,20880
Yukito Aoki,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,23,1439
